spotify_track_uri,spotify_track_id,spotify_artist_id
spotify:track:00HgVIkZrAL8WjAN9Et6WW,00HgVIkZrAL8WjAN9Et6WW,57ylwQTnFnIhJh4nu4rxCs
spotify:track:00IW5PAKECNYdCfzseVJgM,00IW5PAKECNYdCfzseVJgM,5i0ph60TnwTlIGrOZAmcZa
spotify:track:00Igfhpvo0PjvmlUeasmD2,00Igfhpvo0PjvmlUeasmD2,6d24kC5fxHFOSEAmjQPPhc
spotify:track:00JfiKSB2Ne3dWu6EGcec9,00JfiKSB2Ne3dWu6EGcec9,4bzfsZhaLW6VWHLh1sqcrK
spotify:track:00KiXBZT9vf1XhcqkFrzug,00KiXBZT9vf1XhcqkFrzug,19lQ2rJLlP71FOKESiMNJT
spotify:track:00KjOnN3U40e3lXFUOue7h,00KjOnN3U40e3lXFUOue7h,0iEtIxbK0KxaSlF7G42ZOp
spotify:track:00KjOnN3U40e3lXFUOue7h,00KjOnN3U40e3lXFUOue7h,13y7CgLHjMVRMDqxdx0Xdo
spotify:track:00LC4sGY9hCVIYhpB958Mz,00LC4sGY9hCVIYhpB958Mz,7axA2bNeZsae6t2mgxoSFh
spotify:track:00ML8iAjqTx5aWWRoTTQji,00ML8iAjqTx5aWWRoTTQji,0aA1GTrIMutjIh4GlPPUVN
spotify:track:00ML8iAjqTx5aWWRoTTQji,00ML8iAjqTx5aWWRoTTQji,5JNsIugrIND5sz8Vp5Hauk
spotify:track:00NAQYOP4AmWR549nnYJZu,00NAQYOP4AmWR549nnYJZu,1Xyo4u8uXC1ZmMpatF05PJ
spotify:track:00NY3B1Vo4EVl7T7rAO6g5,00NY3B1Vo4EVl7T7rAO6g5,0aQ8Ow9YAkGxr5bbehjkcS
spotify:track:00NlCBSe1NWfV9NXKYW9h9,00NlCBSe1NWfV9NXKYW9h9,51lE580QM13Anmb3mK2j1e
spotify:track:00NxCtDeb0w6vJhSI8m419,00NxCtDeb0w6vJhSI8m419,3m8KqUjgKDwmJ9L9uBHMMs
spotify:track:00OxHr6A8m97br35tPrDZR,00OxHr6A8m97br35tPrDZR,4G9wSdX0klmoHfjm9i6DLd
spotify:track:00R0fEFZGb5hyTgF1nrRCq,00R0fEFZGb5hyTgF1nrRCq,1YfEcTuGvBQ8xSD1f53UnK
spotify:track:00R0fEFZGb5hyTgF1nrRCq,00R0fEFZGb5hyTgF1nrRCq,2YZyLoL8N0Wb9xBt1NhZWg
spotify:track:00SO00JL1GrGyViYGu6roA,00SO00JL1GrGyViYGu6roA,161AC1AVRkIGIMxyj5djFQ
spotify:track:00SbDsYiJoK50UisOogbmR,00SbDsYiJoK50UisOogbmR,0ONHkAv9pCAFxb0zJwDNTy
spotify:track:00SbDsYiJoK50UisOogbmR,00SbDsYiJoK50UisOogbmR,4O15NlyKLIASxsJ0PrXPfz
spotify:track:00SbDsYiJoK50UisOogbmR,00SbDsYiJoK50UisOogbmR,4Gso3d4CscCijv0lmajZWs
spotify:track:00SlXYapXP5KuDarLc2hUJ,00SlXYapXP5KuDarLc2hUJ,0ONHkAv9pCAFxb0zJwDNTy
spotify:track:00SlXYapXP5KuDarLc2hUJ,00SlXYapXP5KuDarLc2hUJ,0cGUm45nv7Z6M6qdXYQGTX
spotify:track:00TGiIbiQMynLQ46G3P8JT,00TGiIbiQMynLQ46G3P8JT,1wUArE0NhHB8M1bU2WSplY
spotify:track:00Tpk2aoEUOqmfa90Qd1xF,00Tpk2aoEUOqmfa90Qd1xF,6f7UIM59MQy6y0bJmQcRNe
spotify:track:00Tpk2aoEUOqmfa90Qd1xF,00Tpk2aoEUOqmfa90Qd1xF,0qkAbJwDGEIZJYTw2fYBws
spotify:track:00UykwbGibZUljAvgfQvIq,00UykwbGibZUljAvgfQvIq,7bVL3NrrQUCtBR1u8soLtt
spotify:track:00WEwk56IydaWK62xPwti8,00WEwk56IydaWK62xPwti8,2vd2HnNh4pdYa9gDVHFjEu
spotify:track:00WVclSOdTPuLYTott68Wl,00WVclSOdTPuLYTott68Wl,1CF8aEN939swnuIZGFI7Hk
spotify:track:00Wb1urBVclA6WdcrmrUxg,00Wb1urBVclA6WdcrmrUxg,64mPnRMMeudAet0E62ypkx
spotify:track:00X0ABCr4AZpT5GDfwjdcg,00X0ABCr4AZpT5GDfwjdcg,6l3HvQ5sa6mXTsMTB19rO5
spotify:track:00YFOUXc24ufN9zAtcA7RO,00YFOUXc24ufN9zAtcA7RO,2DlKh1IzbG3EwAMaTF2p4A
spotify:track:00Z04S6kpCJXbYtLhvtEeG,00Z04S6kpCJXbYtLhvtEeG,58hwRYvd98tYQPesSo9bHi
spotify:track:00akdRx173lGDFFzMAIv1f,00akdRx173lGDFFzMAIv1f,5e1BZulIiYWPRm8yogwUYH
spotify:track:00bXXjLwRLLzOH13EZlR2n,00bXXjLwRLLzOH13EZlR2n,16GcWuvvybAoaHr0NqT8Eh
spotify:track:00bzk6Ic3Zl0yQGRrWnivF,00bzk6Ic3Zl0yQGRrWnivF,4WVT8k6aMXbGw9KgGqTk0l
spotify:track:00cBcYOlnHoXX9ver3cmdE,00cBcYOlnHoXX9ver3cmdE,66W9LaWS0DPdL7Sz8iYGYe
spotify:track:00cIQYjkX1Td9PD9Kk0iiX,00cIQYjkX1Td9PD9Kk0iiX,5aIqB5nVVvmFsvSdExz408
spotify:track:00cIQYjkX1Td9PD9Kk0iiX,00cIQYjkX1Td9PD9Kk0iiX,2Oz3z7PPQUMU2KNYgcO1sA
spotify:track:00cIQYjkX1Td9PD9Kk0iiX,00cIQYjkX1Td9PD9Kk0iiX,25mbgceDJKxXGP8c5FmC83
spotify:track:00fRUfon3pr861IKiG03kA,00fRUfon3pr861IKiG03kA,1r1uxoy19fzMxunt3ONAkG
spotify:track:00fRUfon3pr861IKiG03kA,00fRUfon3pr861IKiG03kA,5BlKoQLYxv24MSV5AD6i6q
spotify:track:00fRUfon3pr861IKiG03kA,00fRUfon3pr861IKiG03kA,34482S5nfxR441wcnVfrHi
spotify:track:00gZKlWAXM256BvCaUV0qv,00gZKlWAXM256BvCaUV0qv,05fG473iIaoy82BF1aGhL8
spotify:track:00hRhmMiyznNLkl5qT1MsZ,00hRhmMiyznNLkl5qT1MsZ,7LCDnUQYE07fnKbo46SVLB
spotify:track:00hgtJwONC7jG6X0GUMXvv,00hgtJwONC7jG6X0GUMXvv,7HWFXU9pHBj0u58yoRwwOJ
spotify:track:00i2HU7TEzzftShjRrDSEF,00i2HU7TEzzftShjRrDSEF,1ZwdS5xdxEREPySFridCfh
spotify:track:00i2HU7TEzzftShjRrDSEF,00i2HU7TEzzftShjRrDSEF,33JfM2NgTRFT9wMoQvcv6T
spotify:track:00iteHx26beGMzItRl4XM4,00iteHx26beGMzItRl4XM4,7jXyoAspWFb0THckTPS8zw
spotify:track:00izcDmYuisJ2k1LDfPCWZ,00izcDmYuisJ2k1LDfPCWZ,6v4jPZO3UIDNJIgdxRxtr9
spotify:track:00jSHE9vIA7FbrzxIYaeqy,00jSHE9vIA7FbrzxIYaeqy,7N3JfLDzzjXdPbsyco7X0l
spotify:track:00ko9WaS4jOX1kEk3gvHjf,00ko9WaS4jOX1kEk3gvHjf,1anyVhU62p31KFi8MEzkbf
spotify:track:00ko9WaS4jOX1kEk3gvHjf,00ko9WaS4jOX1kEk3gvHjf,5SyGEPymt1G2uto47tVWvZ
spotify:track:00ko9WaS4jOX1kEk3gvHjf,00ko9WaS4jOX1kEk3gvHjf,4r63FhuTkUYltbVAg5TQnk
spotify:track:00lN1JIW8XvyynvZuMIjo1,00lN1JIW8XvyynvZuMIjo1,39VNwvlQTqE9SvgPjjnMpc
spotify:track:00muGLwEZEn5yZ3DpxwLOy,00muGLwEZEn5yZ3DpxwLOy,1SlX83ItPjBMMGMdIKwF0z
spotify:track:00muGLwEZEn5yZ3DpxwLOy,00muGLwEZEn5yZ3DpxwLOy,6EN9LJHqoZG0mgxLvedhcA
spotify:track:00nhkvorbdardFjuIi2OOo,00nhkvorbdardFjuIi2OOo,3EbMlZ7ZKmFWPTHrLzpzvs
spotify:track:00raqR0jGHLXhFpeBo1Dq9,00raqR0jGHLXhFpeBo1Dq9,4tNxq9NGKTKaX8OkZBLgf0
spotify:track:00sTXNQ8B6c7qw3ipM8J2x,00sTXNQ8B6c7qw3ipM8J2x,7vMq7jzis1GsGIZClg4lTg
spotify:track:00sqif1ghWIxr4FDGXo687,00sqif1ghWIxr4FDGXo687,0lVlNsuGaOr9vMHCZIAKMt
spotify:track:00tVqOO5Ncuk4r62jF1gmA,00tVqOO5Ncuk4r62jF1gmA,1sahk8ZhHF9FB59DMyDi8D
spotify:track:00wT7HAtqZ2BnemrR34vbO,00wT7HAtqZ2BnemrR34vbO,6kBDZFXuLrZgHnvmPu9NsG
spotify:track:00wre9b7mNJnJPxeHmvPTT,00wre9b7mNJnJPxeHmvPTT,67PZTxaHKMZBFRUh8wIzCy
spotify:track:00x9D4vEwIQsOMz9rbwJqd,00x9D4vEwIQsOMz9rbwJqd,1iNNWK8bYjc5EK0waLk1J1
spotify:track:00xcGFYL3ZFFKiv9VstuVy,00xcGFYL3ZFFKiv9VstuVy,4WPY0N74T3KUja57xMQTZ3
spotify:track:00ykNeSOzoNGkeRN0LSqGT,00ykNeSOzoNGkeRN0LSqGT,0X380XXQSNBYuleKzav5UO
spotify:track:010BtYiFU5dJHsEnibLN38,010BtYiFU5dJHsEnibLN38,1KHydwFySZY3YcWyo2q2dF
spotify:track:011ZwIM48eD8ee2UBpG8nK,011ZwIM48eD8ee2UBpG8nK,73sIBHcqh3Z3NyqHKZ7FOL
spotify:track:011ZwIM48eD8ee2UBpG8nK,011ZwIM48eD8ee2UBpG8nK,1URnnhqYAYcrqrcwql10ft
spotify:track:011ZwIM48eD8ee2UBpG8nK,011ZwIM48eD8ee2UBpG8nK,4ZhFCxPekpmV12n2xMeF2z
spotify:track:011ZwIM48eD8ee2UBpG8nK,011ZwIM48eD8ee2UBpG8nK,6sqZoZxe9BQwk7Zxh6STfF
spotify:track:012INUMZJqrDnWVZq8GU1t,012INUMZJqrDnWVZq8GU1t,1xUhNgw4eJDZfvumIpcz1B
spotify:track:012VemymXqt60QOGNOwKBp,012VemymXqt60QOGNOwKBp,16GcWuvvybAoaHr0NqT8Eh
spotify:track:013bfXLDu7LOowulzpmNJc,013bfXLDu7LOowulzpmNJc,2DlKh1IzbG3EwAMaTF2p4A
spotify:track:014g23J3ef6GoSfu6qOVz3,014g23J3ef6GoSfu6qOVz3,3BM0EaYmkKWuPmmHFUTQHv
spotify:track:015EEnzb9yU7gfyyeYYYxy,015EEnzb9yU7gfyyeYYYxy,5mlbvTfWUOfDrUIK6dkNzv
spotify:track:015onfvFitAp5rFOMSsQRl,015onfvFitAp5rFOMSsQRl,5wbIWUzTPuTxTyG6ouQKqz
spotify:track:016mZ4eRLAptPx97ds3r9d,016mZ4eRLAptPx97ds3r9d,3CLxkDhrB2fgk9OoJtBxl9
spotify:track:017PF4Q3l4DBUiWoXk4OWT,017PF4Q3l4DBUiWoXk4OWT,6M2wZ9GZgrQXHCFfjv46we
spotify:track:018EEKoziX4V6pVMTLX1Ak,018EEKoziX4V6pVMTLX1Ak,1nj9nHPkz1IbxXEpkW1WTz
spotify:track:018EEKoziX4V6pVMTLX1Ak,018EEKoziX4V6pVMTLX1Ak,59xdAObFYuaKO2phzzz07H
spotify:track:019DfdFpqsFPE51yg3zlRM,019DfdFpqsFPE51yg3zlRM,1lcSbVHDXu6h6H6vIRDBhT
spotify:track:01A0gURGkHyPVqsLFC3RKq,01A0gURGkHyPVqsLFC3RKq,5tkITWzssc9z9hu7ZEOCXz
spotify:track:01A9UQ3va1LyEO5a9MMSzw,01A9UQ3va1LyEO5a9MMSzw,2WjvvwAX0mdWwq3aFuUdtc
spotify:track:01At2PY0MY3ogL6GQErzZh,01At2PY0MY3ogL6GQErzZh,3QgBKy7myJIAIMe1A1y7uq
spotify:track:01AtLZK9NayAYpk93zbs0Z,01AtLZK9NayAYpk93zbs0Z,10YNQq86z4shHwDSymTyWc
spotify:track:01BP64sgOiZivy1Ss3v8C9,01BP64sgOiZivy1Ss3v8C9,4VNQWV2y1E97Eqo2D5UTjx
spotify:track:01BP64sgOiZivy1Ss3v8C9,01BP64sgOiZivy1Ss3v8C9,3pFPBG84k5bQVbL9apf2PD
spotify:track:01BP64sgOiZivy1Ss3v8C9,01BP64sgOiZivy1Ss3v8C9,1ClOAC5th0n8BGUD22KpIV
spotify:track:01CYr3t0hedD915PmI5l4D,01CYr3t0hedD915PmI5l4D,0nmQIMXWTXfhgOBdNzhGOs
spotify:track:01CooHF5f6XtahiiDbaBbA,01CooHF5f6XtahiiDbaBbA,62elZbH5Iop8UPcChp7OrU
spotify:track:01CyjvhY0cA1T9XwST7FAH,01CyjvhY0cA1T9XwST7FAH,776Uo845nYHJpNaStv1Ds4
spotify:track:01DGSKcBCSQ3pRJ4q4Ekmj,01DGSKcBCSQ3pRJ4q4Ekmj,2LIk90788K0zvyj2JJVwkJ
spotify:track:01DOwL13rAe7UiNtX2MTEE,01DOwL13rAe7UiNtX2MTEE,3qYfqdVwX0fil71onLpLkh
spotify:track:01DTvQkEcJPk3aRfgZ7Whc,01DTvQkEcJPk3aRfgZ7Whc,3utxjLheHaVEd9bPjQRsy8
spotify:track:01DidSmPasiXdPhDVuaULL,01DidSmPasiXdPhDVuaULL,3CjlHNtplJyTf9npxaPl5w
spotify:track:01Dx3WT1TcDTro8g6XBcOc,01Dx3WT1TcDTro8g6XBcOc,3hyGGjxu73JuzBa757H6R5
spotify:track:01Gb1rVOV5Xq2aOzzqQwNE,01Gb1rVOV5Xq2aOzzqQwNE,4ytkhMSAnrDP8XzRNlw9FS
spotify:track:01HsxpPVTfoMY83fQPMIlK,01HsxpPVTfoMY83fQPMIlK,4BTcOR2hEQZQQL5AMo5u10
spotify:track:01LODLnhlfNphZ366BqKc0,01LODLnhlfNphZ366BqKc0,2ye2Wgw4gimLv2eAKyk1NB
spotify:track:01MJA4yIQiGD2XYzp5063U,01MJA4yIQiGD2XYzp5063U,1gR0gsQYfi6joyO1dlp76N
spotify:track:01Mpj13vURSO3cCLprPt5T,01Mpj13vURSO3cCLprPt5T,1IQ2e1buppatiN1bxUVkrk
spotify:track:01MqEw2Y7knaImpcrTqlBH,01MqEw2Y7knaImpcrTqlBH,6mdiAmATAx73kdxrNrnlao
spotify:track:01NRpu9CeEx4DqiDjG20PA,01NRpu9CeEx4DqiDjG20PA,33bzrYoIWLx5uox3y0VtHn
spotify:track:01NSrsQkOZ3PgRcGLGrOT5,01NSrsQkOZ3PgRcGLGrOT5,0n94vC3S9c3mb2HyNAOcjg
spotify:track:01PNNcnRkoWTRqsPxy6vIs,01PNNcnRkoWTRqsPxy6vIs,5mlbvTfWUOfDrUIK6dkNzv
spotify:track:01PW4iTCvh9cUHPF0eV7H3,01PW4iTCvh9cUHPF0eV7H3,3utxjLheHaVEd9bPjQRsy8
spotify:track:01Q7hHOSuD1p7PaOaJgKr7,01Q7hHOSuD1p7PaOaJgKr7,0Hh9X3QxTHPE2dlAS1g8IN
spotify:track:01QM7vNZlyv50sZin3ee8K,01QM7vNZlyv50sZin3ee8K,4TMHGUX5WI7OOm53PqSDAT
spotify:track:01SfTM5nfCou5gQL70r6gs,01SfTM5nfCou5gQL70r6gs,3WrFJ7ztbogyGnTHbHJFl2
spotify:track:01T0Kq5YOIRF9BQRXJsyfe,01T0Kq5YOIRF9BQRXJsyfe,26T3LtbuGT1Fu9m0eRq5X3
spotify:track:01TJqQXDO9CgiTzSXzbvvg,01TJqQXDO9CgiTzSXzbvvg,5Q2ZtOZ0vOdtcjGDOq6ZQc
spotify:track:01ToxyMoxlErcm35QraxJS,01ToxyMoxlErcm35QraxJS,09RKiiT2NAJ7qYoAGOYu9w
spotify:track:01TxlIu2vVrtYZ7IsOilXs,01TxlIu2vVrtYZ7IsOilXs,558fch9H4BrW99aTfvtYrz
spotify:track:01U7vtPxIcXto43jV8731R,01U7vtPxIcXto43jV8731R,1ZN1c1qWEGZNX1pGeKCPpf
spotify:track:01UlCyz9z8PANm9oE22RlB,01UlCyz9z8PANm9oE22RlB,536osqBGKzeozje8BfcGsa
spotify:track:01UstUPbzPgq2MNp6h0tVo,01UstUPbzPgq2MNp6h0tVo,4Z8W4fKeB5YxbusRsdQVPb
spotify:track:01VGA34ATxwp0Xo1ldduo2,01VGA34ATxwp0Xo1ldduo2,6l3HvQ5sa6mXTsMTB19rO5
spotify:track:01VXGDL8Ox3SWmvM8ZyvSB,01VXGDL8Ox3SWmvM8ZyvSB,2S5hlvw4CMtMGswFtfdK15
spotify:track:01VY2CjzDz8jXvcdZJmr0t,01VY2CjzDz8jXvcdZJmr0t,3fG8uaflud9emf1ilbGWie
spotify:track:01X4vM5W2LBiBWRSY1O7TF,01X4vM5W2LBiBWRSY1O7TF,0CF71zaDOJWCynIkW9bSK8
spotify:track:01YROQCnF1AQm7SCWJmD2o,01YROQCnF1AQm7SCWJmD2o,164hs3x1Tsp3FgJWNHee1r
spotify:track:01YmDEvbiVb5q5eCGNlB6U,01YmDEvbiVb5q5eCGNlB6U,21mKp7DqtSNHhCAU2ugvUw
spotify:track:01YmDEvbiVb5q5eCGNlB6U,01YmDEvbiVb5q5eCGNlB6U,3CqIBKbIRHObYuudV8Yfwt
spotify:track:01ZoBkMJAxjPx5gQcNR7Yl,01ZoBkMJAxjPx5gQcNR7Yl,0EdvGhlC1FkGItLOWQzG4J
spotify:track:01ZpFhrMMqKPVCwyqXneVp,01ZpFhrMMqKPVCwyqXneVp,4Z8W4fKeB5YxbusRsdQVPb
spotify:track:01aqIxHsUWrPX4slQwkkp4,01aqIxHsUWrPX4slQwkkp4,7q3OTml6VefMn69k5EOwnx
spotify:track:01bNIgYQ18cn3pNHz8NgbM,01bNIgYQ18cn3pNHz8NgbM,25oLRSUjJk4YHNUsQXk7Ut
spotify:track:01bNIgYQ18cn3pNHz8NgbM,01bNIgYQ18cn3pNHz8NgbM,5K0rbdBrs2tNXe5LeWMATT
spotify:track:01bV8btZEvmc9cFmv2UX8q,01bV8btZEvmc9cFmv2UX8q,6mdiAmATAx73kdxrNrnlao
spotify:track:01be2LszAILfCjIkxDhvz7,01be2LszAILfCjIkxDhvz7,4YWj8sohRDjL9deiuRvEEY
spotify:track:01cGujYWGF7JchJLSgf6Ta,01cGujYWGF7JchJLSgf6Ta,0SbGI4sb8dAKFZnK7RFyhz
spotify:track:01coyd6aCiRZA3jVKVXTPc,01coyd6aCiRZA3jVKVXTPc,5fsDcuclIe8ZiBD5P787K1
spotify:track:01doyoDfqqviVm1t8rA7I9,01doyoDfqqviVm1t8rA7I9,0Y4inQK6OespitzD6ijMwb
spotify:track:01f0iKHe9LyFOWNiqinC7W,01f0iKHe9LyFOWNiqinC7W,3o2dn2O0FCVsWDFSh8qxgG
spotify:track:01fiCnfuw3uihisEFkEVCr,01fiCnfuw3uihisEFkEVCr,6UuT0BJZ9vF8Y1sxXnJl2s
spotify:track:01haijSScF1oO5sQtUnysn,01haijSScF1oO5sQtUnysn,2mI89QIY20j4ly27G6qA45
spotify:track:01iiEi9h8CQGUN2K1xBbTj,01iiEi9h8CQGUN2K1xBbTj,5INjqkS1o8h1imAzPqGZBb
spotify:track:01j2Hs1oZCWpJUaAGLNSGk,01j2Hs1oZCWpJUaAGLNSGk,5A4ebXQf38xWIq0xSWLhsS
spotify:track:01kaye5q2AxCwkUgvwcUBj,01kaye5q2AxCwkUgvwcUBj,0NmYchKQ8JIR9QHYJA0FRe
spotify:track:01ksCsNKlWaoaNbjIZzfHz,01ksCsNKlWaoaNbjIZzfHz,4OOlG5eBXSkSAAEeKjJb5Y
