old_track_uri,new_track_uri
spotify:track:072XFpSbDJPCRxILkfUbxp,spotify:track:072XFpSbDJPCRxILkfUbxp
spotify:track:3uwIqxp19K4PtHaQ5F0Ppg,spotify:track:4bhTJfVPynHxot7dlVNgq7
spotify:track:4bhTJfVPynHxot7dlVNgq7,spotify:track:4bhTJfVPynHxot7dlVNgq7
spotify:track:0kTfQaqYdzDuQ39nKHd164,spotify:track:6Xhqj29KSYBJSnlh7ZwXi2
spotify:track:6Xhqj29KSYBJSnlh7ZwXi2,spotify:track:6Xhqj29KSYBJSnlh7ZwXi2
spotify:track:45Z9SQmHi1nCIevliOVtaz,spotify:track:1hWQvA6oGVJ2mAVsZ59AaV
spotify:track:1hWQvA6oGVJ2mAVsZ59AaV,spotify:track:1hWQvA6oGVJ2mAVsZ59AaV
spotify:track:5u2qiqQGUBy8fvXTvs9i2X,spotify:track:1g8lVIsEkDaGD1nKw6fwUb
spotify:track:1g8lVIsEkDaGD1nKw6fwUb,spotify:track:1g8lVIsEkDaGD1nKw6fwUb
spotify:track:2U1h5MX1OvaHaBxyU7819B,spotify:track:0rA9HonPSSxTbPJkB81Qqh
spotify:track:0rA9HonPSSxTbPJkB81Qqh,spotify:track:0rA9HonPSSxTbPJkB81Qqh
spotify:track:7bFs4yVuMdy28Ts7vLI2Zt,spotify:track:6wqJeItl3Vc3az4ZicSQAB
spotify:track:6wqJeItl3Vc3az4ZicSQAB,spotify:track:6wqJeItl3Vc3az4ZicSQAB
spotify:track:0KtLQRXqcP9qFgxpk4vuiB,spotify:track:47VSmPTydr0saGjbQGwCeg
spotify:track:47VSmPTydr0saGjbQGwCeg,spotify:track:47VSmPTydr0saGjbQGwCeg
spotify:track:4cpOvpvvx1upv0HDyZKVQJ,spotify:track:61mWefnWQOLf90gepjOCb3
spotify:track:61mWefnWQOLf90gepjOCb3,spotify:track:61mWefnWQOLf90gepjOCb3
spotify:track:5LRtNztgKF6q7GGTFXuPj2,spotify:track:11SQnfm9cxgIjRREQWgbsP
spotify:track:11SQnfm9cxgIjRREQWgbsP,spotify:track:11SQnfm9cxgIjRREQWgbsP
spotify:track:2yYX7KbfWZrezWVW1vN3iz,spotify:track:7MEHTWzEi3z7P2jEWAcdHZ
spotify:track:7MEHTWzEi3z7P2jEWAcdHZ,spotify:track:7MEHTWzEi3z7P2jEWAcdHZ
spotify:track:4Z6e88z4yPI3oYBAUicQ1b,spotify:track:0SNybMfb3uFISmnYrIt7Gs
spotify:track:0SNybMfb3uFISmnYrIt7Gs,spotify:track:0SNybMfb3uFISmnYrIt7Gs
spotify:track:5gs3OJVv8wly05nf44iHiZ,spotify:track:2dNuTNTVlUGTTofqJCCrXU
spotify:track:2dNuTNTVlUGTTofqJCCrXU,spotify:track:2dNuTNTVlUGTTofqJCCrXU
spotify:track:4vy4R3a1FfrbG03YacLoER,spotify:track:74WIE2htPZwxx4HgGhpf8i
spotify:track:74WIE2htPZwxx4HgGhpf8i,spotify:track:74WIE2htPZwxx4HgGhpf8i
spotify:track:3XgijFimqlPtzTMk1oweqw,spotify:track:3wWBjqx2dJlJRVJdnPzXsr
spotify:track:3wWBjqx2dJlJRVJdnPzXsr,spotify:track:3wWBjqx2dJlJRVJdnPzXsr
spotify:track:3nSK1M29hY2Jg2CjsJe98h,spotify:track:0Y2i84QWPFiFHQfEQDgHya
spotify:track:0Y2i84QWPFiFHQfEQDgHya,spotify:track:0Y2i84QWPFiFHQfEQDgHya
spotify:track:6aAB0piUg6mZ5sJuXaV9ps,spotify:track:6M3Qat8CTPMnagoVSSOXvI
spotify:track:6M3Qat8CTPMnagoVSSOXvI,spotify:track:6M3Qat8CTPMnagoVSSOXvI
spotify:track:02wWugZopNahlikfX5vm3F,spotify:track:3RptaQ5Xb8WvtpItZ2f9Hi
spotify:track:3RptaQ5Xb8WvtpItZ2f9Hi,spotify:track:3RptaQ5Xb8WvtpItZ2f9Hi
spotify:track:0IRDPEW2SCzUPr40xLfTiG,spotify:track:6WCkyaVmut83CtBFEUhDo4
spotify:track:6WCkyaVmut83CtBFEUhDo4,spotify:track:6WCkyaVmut83CtBFEUhDo4
spotify:track:3XV98o0Kun2lxv3eHly5Be,spotify:track:2W2eaLVKv9NObcLXlYRZZo
spotify:track:2yTnWN1R5j6grXC8YLf5mc,spotify:track:2W2eaLVKv9NObcLXlYRZZo
spotify:track:2W2eaLVKv9NObcLXlYRZZo,spotify:track:2W2eaLVKv9NObcLXlYRZZo
spotify:track:7ilvmUhG4jmCuJV4ZvjkKT,spotify:track:0iget4icTqUya9wtpvCTF2
spotify:track:0iget4icTqUya9wtpvCTF2,spotify:track:0iget4icTqUya9wtpvCTF2
spotify:track:0IRhnnggBPZ1WMVWUgRrfj,spotify:track:2cKZJAxbepebrKMdkggWHg
spotify:track:2cKZJAxbepebrKMdkggWHg,spotify:track:2cKZJAxbepebrKMdkggWHg
spotify:track:1j3sGUX5GOviHgrJeRqzXu,spotify:track:3OYZWMm5m2DEwq2Tc1ukTh
spotify:track:3OYZWMm5m2DEwq2Tc1ukTh,spotify:track:3OYZWMm5m2DEwq2Tc1ukTh
spotify:track:2093eVNfimjmNjU1gk1ES7,spotify:track:5mpUKTdskZea0gStWzeHUZ
spotify:track:5mpUKTdskZea0gStWzeHUZ,spotify:track:5mpUKTdskZea0gStWzeHUZ
spotify:track:15DLl1r2zi07Ssq5RT1yT0,spotify:track:2gscB6kDOmrv1P6qs2KXE3
spotify:track:2gscB6kDOmrv1P6qs2KXE3,spotify:track:2gscB6kDOmrv1P6qs2KXE3
spotify:track:7dSxTRkDNd8QTazzvMeH5D,spotify:track:4Cy0NHJ8Gh0xMdwyM9RkQm
spotify:track:4Cy0NHJ8Gh0xMdwyM9RkQm,spotify:track:4Cy0NHJ8Gh0xMdwyM9RkQm
spotify:track:37sZCRrGMdDsYg7QqqvdnR,spotify:track:60k0xRw1oYUwZYp4e2iue8
spotify:track:60k0xRw1oYUwZYp4e2iue8,spotify:track:60k0xRw1oYUwZYp4e2iue8
spotify:track:0AUp2LQdUSJRtQa5rTx3fJ,spotify:track:6kKXowSTq8uKZhdFPdG9BS
spotify:track:6kKXowSTq8uKZhdFPdG9BS,spotify:track:6kKXowSTq8uKZhdFPdG9BS
spotify:track:5kN6AirSbDRzfFQqCuo1kt,spotify:track:51vOZQuGnqPXfU5VbTZqZb
spotify:track:5rhgZSkr7P8ZNx7OxBbdOw,spotify:track:51vOZQuGnqPXfU5VbTZqZb
spotify:track:51vOZQuGnqPXfU5VbTZqZb,spotify:track:51vOZQuGnqPXfU5VbTZqZb
spotify:track:5kUELvsIbY1OwLWogXkawl,spotify:track:0My2pMmVxevwrGyd1CR8u2
spotify:track:0My2pMmVxevwrGyd1CR8u2,spotify:track:0My2pMmVxevwrGyd1CR8u2
spotify:track:3GZrXzXqCmE8NmA0T3E7QZ,spotify:track:2cmRpmO04TLaKPzmAzySYZ
spotify:track:2cmRpmO04TLaKPzmAzySYZ,spotify:track:2cmRpmO04TLaKPzmAzySYZ
spotify:track:2HN3jL5e8l9LS5reS1UXel,spotify:track:0IUAugkLGELvtFJfzPn2vi
spotify:track:0IUAugkLGELvtFJfzPn2vi,spotify:track:0IUAugkLGELvtFJfzPn2vi
spotify:track:0PjDyNb9HRCSoN6iDnEsQA,spotify:track:3th6RKMOGhtiAZzX116zDg
spotify:track:3th6RKMOGhtiAZzX116zDg,spotify:track:3th6RKMOGhtiAZzX116zDg
spotify:track:1KwRLMrU6PjhfQCtX3CrKS,spotify:track:0cxDKzFxhhYj2EYAxKsHwB
spotify:track:0cxDKzFxhhYj2EYAxKsHwB,spotify:track:0cxDKzFxhhYj2EYAxKsHwB
spotify:track:5WNPIQPFioVhBgMjnKeVLr,spotify:track:4YXkrALdpvW39OcJ51FJ6i
spotify:track:4YXkrALdpvW39OcJ51FJ6i,spotify:track:4YXkrALdpvW39OcJ51FJ6i
spotify:track:1aHnGUYNyLfwGrw8He5rCH,spotify:track:5gmv3BgePSYiHnPJgY7oTJ
spotify:track:5gmv3BgePSYiHnPJgY7oTJ,spotify:track:5gmv3BgePSYiHnPJgY7oTJ
spotify:track:1xVznNshNUZcvdhSwj7kAb,spotify:track:3ETW8l9FuVFpPHUSTyZDK4
spotify:track:3ETW8l9FuVFpPHUSTyZDK4,spotify:track:3ETW8l9FuVFpPHUSTyZDK4
spotify:track:5LQVkIyf3HwZ9i6Xk1i59H,spotify:track:404ZIfgGYd8VnwUn0HA1Pd
spotify:track:404ZIfgGYd8VnwUn0HA1Pd,spotify:track:404ZIfgGYd8VnwUn0HA1Pd
spotify:track:1Y5EqnpZLLoAp4RQQTr10O,spotify:track:53PkA8aXiwH4ppa0V0iO7o
spotify:track:53PkA8aXiwH4ppa0V0iO7o,spotify:track:53PkA8aXiwH4ppa0V0iO7o
spotify:track:1ZyPWo8C9aw44I3ySHAy7p,spotify:track:6nlmCGmPBYfdKnMpavObQm
spotify:track:6nlmCGmPBYfdKnMpavObQm,spotify:track:6nlmCGmPBYfdKnMpavObQm
spotify:track:0tAvA30pZhd3IUeH0obJkm,spotify:track:0nTW4n6goPkpnoaBBeSjXm
spotify:track:0nTW4n6goPkpnoaBBeSjXm,spotify:track:0nTW4n6goPkpnoaBBeSjXm
spotify:track:1MgLFBctGI6LPOtV5wCJsl,spotify:track:3VhBuvzzuGUuh7nyJJvGLk
spotify:track:3VhBuvzzuGUuh7nyJJvGLk,spotify:track:3VhBuvzzuGUuh7nyJJvGLk
spotify:track:1WmNDG3pDz1S00FUwq8T0H,spotify:track:6oSPtXd7DNRFEIHR45tNaY
spotify:track:6oSPtXd7DNRFEIHR45tNaY,spotify:track:6oSPtXd7DNRFEIHR45tNaY
spotify:track:079Euao4jItaMOnyUhCCxc,spotify:track:4NiwTsBlFT7H2OMpUbadwL
spotify:track:4NiwTsBlFT7H2OMpUbadwL,spotify:track:4NiwTsBlFT7H2OMpUbadwL
spotify:track:4gKfuzqb1o1uAXr2xCMSQ7,spotify:track:1yAldIvjyQQ6gU5TMNTJNo
spotify:track:2iQov70C2Cs6KCu8Dk8wW1,spotify:track:1yAldIvjyQQ6gU5TMNTJNo
spotify:track:1yAldIvjyQQ6gU5TMNTJNo,spotify:track:1yAldIvjyQQ6gU5TMNTJNo
spotify:track:7taK11d9s5yximvm9XutqK,spotify:track:3fU0407Cls1hLW1ap5w2Lr
spotify:track:3fU0407Cls1hLW1ap5w2Lr,spotify:track:3fU0407Cls1hLW1ap5w2Lr
spotify:track:2rkts1JGoecJofU1lksCFt,spotify:track:3phyDTfoIIyThu0mTOwNRR
spotify:track:3phyDTfoIIyThu0mTOwNRR,spotify:track:3phyDTfoIIyThu0mTOwNRR
spotify:track:4D7b8kg66oK5LA5BR1qG4Z,spotify:track:3EWliP7a6ESryhRYm7uqzN
spotify:track:3EWliP7a6ESryhRYm7uqzN,spotify:track:3EWliP7a6ESryhRYm7uqzN
spotify:track:5i21CigiOpyr2v44f1lFKq,spotify:track:3TPX2opdVfRSWCnqslFECX
spotify:track:3TPX2opdVfRSWCnqslFECX,spotify:track:3TPX2opdVfRSWCnqslFECX
spotify:track:0LGejyhLrXoM7cfb0YQhvP,spotify:track:0Y3ppz9WmQma1WNI5Vbsjj
spotify:track:0Y3ppz9WmQma1WNI5Vbsjj,spotify:track:0Y3ppz9WmQma1WNI5Vbsjj
spotify:track:5h0g1Y8ybNRhSc8nFmjgJs,spotify:track:0zwehcpOBDayrybYUZjJfU
spotify:track:0zwehcpOBDayrybYUZjJfU,spotify:track:0zwehcpOBDayrybYUZjJfU
spotify:track:4UeGpYDxXsQQir6XWGbZxP,spotify:track:2TQN4X01dG14ZckGmgcqz7
spotify:track:2TQN4X01dG14ZckGmgcqz7,spotify:track:2TQN4X01dG14ZckGmgcqz7
spotify:track:57GlVHy3njbhTHe9XGZjkU,spotify:track:62BxlOvQCjLNQA5ARA4Dug
spotify:track:62BxlOvQCjLNQA5ARA4Dug,spotify:track:62BxlOvQCjLNQA5ARA4Dug
spotify:track:7HGTkn2aX7MNdKs7nV2xBt,spotify:track:6PwjJ58I4t7Mae9xfZ9l9v
spotify:track:6PwjJ58I4t7Mae9xfZ9l9v,spotify:track:6PwjJ58I4t7Mae9xfZ9l9v
