artist_name,spotify_artist_id,artist_popularity,followers,main_genre,genres
Porter Robinson,3dz0NnIZhtKKeXZxLOxCam,60,1092876.0,complextro,"complextro, edm, electro house, pop dance, progressive electro house"
Portishead,6liAMWkVf5LH7YR9yfFy1Y,60,1836221.0,alternative rock,"alternative rock, art pop, dark pop, electronica, laboratorio, trip hop"
Radical Something,2UohZ1T4H9BwBb5lYgZodI,30,50231.0,indie pop rap,indie pop rap
Portrayal of Guilt,1Uwe1MbiKnPHAFh3qMWuNp,31,31040.0,austin metal,"austin metal, blackened screamo, chaotic hardcore, post-doom metal, skramz, texas death metal"
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,66,1409230.0,indie rock,"indie rock, indietronica, modern alternative rock, modern rock"
Posij,7nmucrDZXxIQNGLwCqPQpO,41,16619.0,dutch dnb,dutch dnb
Possessed,0ZEpcKtaM4ItvzHJCg5udc,33,169993.0,black metal,"black metal, brutal death metal, death metal, deathgrind, deathrash, metal, speed metal, thrash metal"
Post Malone,246dkjvS1zLTtiykXe5h60,89,42281989.0,dfw rap,"dfw rap, melodic rap, pop, rap"
Power Trip,3TmaQHOfq1olDKHtE38zYT,43,160686.0,crossover thrash,"crossover thrash, new wave of thrash metal, sludge metal, texas hardcore"
Powerwolf,5HFkc3t0HYETL4JeEbDB1v,62,828131.0,german metal,"german metal, german power metal, power metal"
Prawn,29yppqr48ptt5PmMQvawXs,25,21979.0,alternative emo,"alternative emo, midwest emo, new jersey indie"
Pretty Lights,4iVhFmG8YCCEHANGeUUS9q,50,572559.0,glitch hop,"glitch hop, jazztronica, livetronica"
Primo!,2vsgzWoIxqa2qjugu7a1jH,3,1983.0,art punk,"art punk, australian indie rock, melbourne indie"
Primordial,0BZr6WHaejNA63uhZZZZek,33,75220.0,black metal,"black metal, celtic metal, doom metal, folk black metal, folk metal, irish black metal, irish metal, pagan black metal, symphonic black metal"
Primus,64mPnRMMeudAet0E62ypkx,55,1086040.0,alternative metal,"alternative metal, alternative rock, funk metal, funk rock, grunge, nu metal"
Prince,5a2EaR3hamoenG9rDuVn8j,69,7053254.0,funk,"funk, funk rock, minneapolis sound, rock, synth funk"
Princess Nokia,6lay1nwbE6hTx1jivysUAL,57,601026.0,alternative r&b,"alternative r&b, escape room, lgbtq+ hip hop, trap queen"
Pris,467fklDvzq38DYCIouAS09,5,997.0,hypnotic techno,hypnotic techno
Problem Child 5,6o5ZRWDGa1iu5wvojk9HKB,16,3903.0,atl trap,atl trap
Prodigy,1GwxXgEc6oxCKQ5wykWXFs,47,129732.0,hardcore hip hop,"hardcore hip hop, queens hip hop"
Project Destati,7q3OTml6VefMn69k5EOwnx,35,28135.0,japanese vgm,japanese vgm
Propaganda,7wGizTRCLYwsLnTuCBbJ6t,33,68907.0,christian hip hop,christian hip hop
Propagandhi,7qpy5KY3DVrezixTl6mziA,44,172009.0,canadian indie,"canadian indie, canadian punk, melodic hardcore, punk, ska, ska punk, skate punk"
Protest The Hero,6z3BjfmgvDUIHaJ0UPTtrQ,41,196819.0,canadian metal,"canadian metal, canadian post-hardcore, djent, melodic metalcore"
Protoje,7BGR8y1VZAWK2oR4zD9COr,57,379019.0,modern reggae,"modern reggae, reggae"
Protomartyr,2YFBqMMiIIL4XyiEwqySUQ,42,97229.0,american post-punk,"american post-punk, crank wave, detroit rock, indie punk, noise pop, noise rock"
Psychedelic Porn Crumpets,7GRrLcUxwtQLvOpO7OHO80,49,269341.0,australian garage punk,"australian garage punk, australian psych, neo-psychedelic"
Psychonauts,6RDps2aKfmkOIKyX1om6ZP,3,934.0,gothabilly,gothabilly
Psychostick,2kfVqdz3lJshqH9GUHhtMr,46,150927.0,comic,"comic, comic metal, funk rock"
Psycroptic,2O8ZayBAqBqoXujSAAx7pm,30,68921.0,australian death metal,"australian death metal, australian metal, brutal death metal, death metal, deathgrind, technical death metal"
Psymbionic,0uOUEsjCUSv2YvZmZtmBsX,25,26566.0,glitch hop,glitch hop
Puddle Of Mudd,3dXaa6jwM7B52GZpaJEIr5,62,1962773.0,alternative metal,"alternative metal, nu metal, post-grunge"
Punch Brothers,4gFssfOmWNY3LfIZ3zyoy4,42,218067.0,banjo,"banjo, bluegrass, indie folk, mandolin, new americana, progressive bluegrass"
Pure Prairie League,1MXwwmS2JpmsHZhdMeOL2s,46,244967.0,classic rock,"classic rock, country rock, folk rock, heartland rock, mellow gold, singer-songwriter, soft rock"
