spotify_artist_id,artist_name,genre
0Eee47Sroig9UczLZGtyVn,TWEAKS,experimental r&b
0wnYgCeP013HkKoOyC5V32,Allie X,alt z
0wnYgCeP013HkKoOyC5V32,Allie X,canadian electropop
0wnYgCeP013HkKoOyC5V32,Allie X,canadian pop
0wnYgCeP013HkKoOyC5V32,Allie X,dark pop
0wnYgCeP013HkKoOyC5V32,Allie X,electropop
0wnYgCeP013HkKoOyC5V32,Allie X,metropopolis
3CkM2290WOa2ESzhlu5mzM,Shanti Celeste,electra
3CkM2290WOa2ESzhlu5mzM,Shanti Celeste,float house
3CkM2290WOa2ESzhlu5mzM,Shanti Celeste,fluxwork
03cwCzIWQ8BRmXjGPDAL04,Cab Calloway,big band
03cwCzIWQ8BRmXjGPDAL04,Cab Calloway,harlem renaissance
03cwCzIWQ8BRmXjGPDAL04,Cab Calloway,jazz blues
03cwCzIWQ8BRmXjGPDAL04,Cab Calloway,swing
3Uobr6LgQpBbk6k4QGAb3V,I Prevail,alternative metal
3Uobr6LgQpBbk6k4QGAb3V,I Prevail,nu-metalcore
0Yozms4JXzD67amL5nv3eV,Laville,uk contemporary r&b
1QXcKL8Ggy8uCA23mFKgws,Trap Them,american grindcore
1QXcKL8Ggy8uCA23mFKgws,Trap Them,boston hardcore
1QXcKL8Ggy8uCA23mFKgws,Trap Them,chaotic hardcore
1QXcKL8Ggy8uCA23mFKgws,Trap Them,deathgrind
1QXcKL8Ggy8uCA23mFKgws,Trap Them,grindcore
1QXcKL8Ggy8uCA23mFKgws,Trap Them,post-doom metal
1QXcKL8Ggy8uCA23mFKgws,Trap Them,post-metal
1QXcKL8Ggy8uCA23mFKgws,Trap Them,sludge metal
202HZzqKvPsMHcbwnDZx7u,Dorian Electra,escape room
202HZzqKvPsMHcbwnDZx7u,Dorian Electra,hyperpop
202HZzqKvPsMHcbwnDZx7u,Dorian Electra,pink noise
202HZzqKvPsMHcbwnDZx7u,Dorian Electra,proto-hyperpop
2KZogWZPYcACVe4NK80dmc,d0llywood1,glitchcore
2KZogWZPYcACVe4NK80dmc,d0llywood1,hyperpop
3d5usliWmjkMKGsv2X341Q,Beach Slang,indie punk
3d5usliWmjkMKGsv2X341Q,Beach Slang,modern power pop
3d5usliWmjkMKGsv2X341Q,Beach Slang,philly indie
6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,canadian pop
6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,dance pop
6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,pop
2rtsR8zno5naTxY0iJr7M0,Hundredth,dreamo
2rtsR8zno5naTxY0iJr7M0,Hundredth,grungegaze
2rtsR8zno5naTxY0iJr7M0,Hundredth,melodic hardcore
2rtsR8zno5naTxY0iJr7M0,Hundredth,screamocore
0EgUow5z0SXVA9lunNSB1q,Verse Simmonds,pop r&b
134GdR5tUtxJrf8cpsfpyY,Elliphant,electropop
134GdR5tUtxJrf8cpsfpyY,Elliphant,swedish indie pop
7CPwAwFBnruFlDqUQCrM1Q,Raquel Rodriguez,neo r&b
61lyPtntblHJvA7FMMhi7E,Duke Dumont,edm
61lyPtntblHJvA7FMMhi7E,Duke Dumont,house
61lyPtntblHJvA7FMMhi7E,Duke Dumont,pop dance
61lyPtntblHJvA7FMMhi7E,Duke Dumont,progressive house
61lyPtntblHJvA7FMMhi7E,Duke Dumont,uk dance
0lLY20XpZ9yDobkbHI7u1y,Pegboard Nerds,brostep
0lLY20XpZ9yDobkbHI7u1y,Pegboard Nerds,complextro
0lLY20XpZ9yDobkbHI7u1y,Pegboard Nerds,danish electronic
0lLY20XpZ9yDobkbHI7u1y,Pegboard Nerds,edm
0lLY20XpZ9yDobkbHI7u1y,Pegboard Nerds,electro house
0lLY20XpZ9yDobkbHI7u1y,Pegboard Nerds,filthstep
0lLY20XpZ9yDobkbHI7u1y,Pegboard Nerds,glitch
0lLY20XpZ9yDobkbHI7u1y,Pegboard Nerds,speedrun
3thZAdDkh3yDo21gLptJTc,Aeon,brutal death metal
3thZAdDkh3yDo21gLptJTc,Aeon,death metal
3thZAdDkh3yDo21gLptJTc,Aeon,deathgrind
3thZAdDkh3yDo21gLptJTc,Aeon,swedish death metal
3thZAdDkh3yDo21gLptJTc,Aeon,swedish metal
3thZAdDkh3yDo21gLptJTc,Aeon,technical death metal
